AIRLINE_CODE,FLIGHT_NUMBER,TAIL_NUMBER,ORIGIN_AIRPORT,DESTINATION_AIRPORT,AIR_TIME,DISTANCE,CANCELLED
AS,98,N407AS,ANC,SEA,169,1448,0
AA,2336,N3KUAA,LAX,PBI,263,2330,0
US,840,N171US,SFO,CLT,266,2296,0
AA,258,N3HYAA,LAX,MIA,258,2342,0
AS,135,N527AS,SEA,ANC,199,1448,0
DL,806,N3730B,SFO,MSP,206,1589,0
NK,612,N635NK,LAS,MSP,154,1299,0
US,2013,N584UW,LAX,CLT,228,2125,0
AA,1112,N3LAAA,SFO,DFW,173,1464,0
DL,1173,N826DN,LAS,ATL,186,1747,0
DL,2336,N958DN,DEN,ATL,133,1199,0
AA,1674,N853AA,LAS,MIA,238,2174,0
DL,1434,N547US,LAX,MSP,188,1535,0
DL,2324,N3751B,SLC,ATL,176,1590,0
DL,2440,N651DL,SEA,MSP,166,1399,0
AS,108,N309AS,ANC,SEA,173,1448,0
DL,1560,N3743H,ANC,SEA,171,1448,0
UA,1197,N78448,SFO,IAH,199,1635,0
AS,122,N413AS,ANC,PDX,187,1542,0
DL,1670,N806DN,PDX,MSP,171,1426,0
NK,520,N525NK,LAS,MCI,128,1139,0
AA,371,N3GXAA,SEA,MIA,311,2724,0
NK,214,N632NK,LAS,DFW,128,1055,0
AA,,N3CTAA,LAX,MIA,255,2342,0
DL,,N671DN,LAS,MSP,150,1299,0
UA,,N76517,LAX,IAH,,1379,0
AS,,N457AS,FAI,SEA,,1533,0
NK,597,N528NK,MSP,FLL,,1487,0
US,413,N571UW,LAS,CLT,,1916,0
AA,2392,N3HRAA,DEN,MIA,188,1709,0
NK,168,N629NK,PHX,ORD,156,1440,0
AA,2211,N3CGAA,PHX,MIA,217,1972,0
AS,136,N431AS,ANC,SEA,,1448,1
DL,95,N320US,SLC,ATL,182,1590,0
NK,298,N514NK,LAS,IAH,148,1222,0
HA,17,N389HA,LAS,HNL,361,2762,0
US,617,N804AW,ANC,PHX,298,2552,0
UA,1528,N76519,SJU,,220,1608,0
AS,134,N464AS,ANC,,170,1448,0
B6,304,N607JB,SJU,,231,1598,0
NK,451,N633NK,PBG,,174,1334,0
NK,972,N606NK,PHX,,103,868,0
AA,2459,N3BDAA,PHX,,,868,1
AS,144,N514AS,ANC,,182,1542,0
NK,647,N630NK,IAG,,149,1176,0
B6,1990,N597JB,SJU,EWR,239,1608,0
US,699,N172US,PHX,CLT,183,1773,0
AS,114,N303AS,ANC,SEA,176,1448,0
B6,668,N653JB,PSE,MCO,169,1179,0
UA,1162,N37293,BQN,EWR,225,1585,0
B6,1030,N239JB,BQN,MCO,160,1129,0
B6,262,N627JB,SJU,BOS,224,1674,0
B6,2134,N307JB,SJU,MCO,163,1189,0
