race date,horse_name,position,horse_age,bha_rating,draw,trainer_name,jockey_name,prize money 1,course name,race_age,race_title,Qaurter,race distance,odds
11/12/2018,Cousin Khee,3,11,69,2,Hughie Morrison,Charlie Bennett,3752,SOUTHWELL (A.W),3YO+,BETWAY STAYERS HANDICAP (5),3rd,16,0.142857143
11/12/2018,Essential,8,4,60,9,Olly Williams,Luke Morris,3105,SOUTHWELL (A.W),4YO+,BETWAY DASH HANDICAP (6),3rd,6,0.142857143
11/12/2018,The Right Choice,4,3,69,6,Richard Fahey,Tony Hamilton,3752,SOUTHWELL (A.W),3YO+,SUNRACING.CO.UK HANDICAP (DIV II) (5),3rd,8,0.090909091
11/12/2018,Argon,7,3,43,5,Noel Wilson,Andrew Mullen,3752,SOUTHWELL (A.W),3YO+,BETWAY NOVICE STAKES (5),3rd,5,0.02
11/12/2018,Via Delle Volte,6,3,65,14,Joseph Tuite,Luke Morris,3752,SOUTHWELL (A.W),3YO+,BETWAY STAYERS HANDICAP (5),3rd,16,0.111111111
11/12/2018,Lord Cooper,10,4,60,12,Marjorie Fife,Nathan Evans,3105,SOUTHWELL (A.W),4YO+,BETWAY DASH HANDICAP (6),3rd,6,0.071428571
11/12/2018,Novabridge,5,10,49,6,Karen Tutty,Rachel Richardson,3105,SOUTHWELL (A.W),3YO+,BETWAY HANDICAP (6),3rd,5,0.05
11/12/2018,Mystical Moon,5,3,42,10,David C Griffiths,Tom Marquand,3752,SOUTHWELL (A.W),3YO+,BETWAY NOVICE STAKES (5),3rd,5,0.03030303
11/12/2018,Declamation,3,8,62,1,John Butler,Tim Clark,3105,SOUTHWELL (A.W),4YO+,BETWAY DASH HANDICAP (6),3rd,6,0.142857143
11/12/2018,Coiste Bodhar,6,7,51,8,Scott Dixon,Kieran O'Neill,3105,SOUTHWELL (A.W),4YO+,BETWAY DASH HANDICAP (6),3rd,6,0.04
11/12/2018,Il Sicario,13,4,67,9,Bill Turner,Theodore Ladd,3752,SOUTHWELL (A.W),3YO+,BETWAY STAYERS HANDICAP (5),3rd,16,0.05
11/12/2018,Piazon,1,7,59,10,Julia Brooke,Nathan Evans,3105,SOUTHWELL (A.W),3YO+,BETWAY HANDICAP (6),3rd,5,0.125
11/12/2018,Thundercloud,10,3,63,10,Scott Dixon,Theodore Ladd,3752,SOUTHWELL (A.W),3YO+,SUNRACING.CO.UK HANDICAP (DIV II) (5),3rd,8,0.03030303
11/12/2018,Katie Gale,12,8,62,10,Robyn Brisland,Martin Harley,3752,SOUTHWELL (A.W),3YO+,BETWAY STAYERS HANDICAP (5),3rd,16,0.125
11/12/2018,Sir Geoffrey,12,12,46,13,Scott Dixon,Kieran O'Neill,3105,SOUTHWELL (A.W),3YO+,BETWAY HANDICAP (6),3rd,5,0.03030303
11/12/2018,Earl Of Bunnacurry,1,4,56,3,Gavin Cromwell,Kieran O'Neill,3752,SOUTHWELL (A.W),3YO+,SUNRACING.CO.UK HANDICAP (DIV I) (5),3rd,8,0.083333333
11/12/2018,,4,5,56,9,Paul Midgley,Dougie Costello,3105,SOUTHWELL (A.W),3YO+,BETWAY HANDICAP (6),3rd,5,0.05
11/12/2018,,2,10,66,4,John Balding,Lewis Edmunds,3752,SOUTHWELL (A.W),3YO+,SUNRACING.CO.UK HANDICAP (DIV II) (5),3rd,8,0.142857143
11/12/2018,,5,5,0,7,Paul George,Rhiain Ingram,3752,SOUTHWELL (A.W),3-5YO,BETWAY MEDIAN AUCTION MAIDEN STAKES (5),3rd,11,0.04
11/12/2018,,6,4,57,11,Scott Dixon,Theodore Ladd,3752,SOUTHWELL (A.W),3YO+,SUNRACING.CO.UK HANDICAP (DIV I) (5),3rd,8,0.25
11/12/2018,Monzino,10,10,67,7,Michael Chapman,Aaron Mackay,6728,SOUTHWELL (A.W),3YO+,BETWAY HANDICAP (4),3rd,12,0.01
11/12/2018,Atyaaf,6,3,0,8,Derek Shaw,Paddy Mathers,3752,SOUTHWELL (A.W),3YO+,BETWAY NOVICE STAKES (5),3rd,5,0.05
11/12/2018,Tha'ir,12,8,68,4,Olly Williams,Faye McManoman,3752,SOUTHWELL (A.W),3YO+,SUNRACING.CO.UK HANDICAP (DIV I) (5),3rd,8,0.02
11/12/2018,Epitaph,4,4,71,2,Michael Appleby,Andrew Mullen,6728,SOUTHWELL (A.W),3YO+,BETWAY HANDICAP (4),3rd,12,0.04
11/12/2018,Cupid's Arrow,6,4,54,11,Ruth Carr,Jamie Gormley,3105,SOUTHWELL (A.W),3YO+,BETWAY HANDICAP (6),3rd,5,0.222222222
11/12/2018,Briardale,11,6,70,6,James Bethell,P J McDonald,3752,SOUTHWELL (A.W),3YO+,SUNRACING.CO.UK HANDICAP (DIV I) (5),3rd,8,0.3
11/12/2018,Newberry New,7,6,65,13,Harriet Bethell,Alistair Rawlinson,3752,SOUTHWELL (A.W),3YO+,BETWAY STAYERS HANDICAP (5),3rd,16,0.025
11/12/2018,Point Zero,2,3,73,1,Michael Appleby,Luke Morris,3752,SOUTHWELL (A.W),3YO+,BETWAY NOVICE STAKES (5),3rd,5,0.5
11/12/2018,One More Chance,7,3,65,2,Michael Appleby,Kevin Lundie,3752,SOUTHWELL (A.W),3YO+,SUNRACING.CO.UK HANDICAP (DIV II) (5),3rd,8,0.1
11/12/2018,Purple Dragon,7,3,50,1,Mick Quinn,Liam Jones,3105,SOUTHWELL (A.W),3YO+,BETWAY HANDICAP (6),3rd,5,0.055555556
11/12/2018,Red Seeker,9,3,57,5,Mike Sowersby,Cam Hardie,3752,SOUTHWELL (A.W),3-5YO,BETWAY MEDIAN AUCTION MAIDEN STAKES (5),3rd,11,0.05
11/12/2018,Luv U Whatever,3,8,75,4,Marjorie Fife,Faye McManoman,6728,SOUTHWELL (A.W),3YO+,BETWAY HANDICAP (4),3rd,12,0.153846154
11/12/2018,Zapateado,8,3,67,9,Paul George,Luke Morris,3752,SOUTHWELL (A.W),3YO+,SUNRACING.CO.UK HANDICAP (DIV I) (5),3rd,8,0.133333333
